Region,District , 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE ,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE ,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL, 20+  (B/S &RDT) FEMALE , 20+  (B/S &RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
North Central,Nakasongola District,58,34,92,10300,7464,17764,13037,9234,22271,6829,5788,12617,8218,8088,16306,30,9,39,9,6906,6915,11770,7957,19727,7370,7213,14583,6213,5395,11608,48,9,57,9813,7154,16967,86430,211902,298332,7495,7439,14934,6467,5481,11948,354,1170,1524,38442,30608,69050,16990,8122,25112,181795,226074,3314,1.022037588,211762.967,63.89950725,1.349,32.4467
Busoga,Namayingo District,28,16,44,20574,12639,33213,36963,19931,56894,14135,11191,25326,21691,19666,41357,28,13,41,13,12194,12207,36024,19350,55374,20789,18846,39635,13687,10806,24493,28,13,41,20487,12378,32865,194068,477044,671112,21209,19049,40258,13922,10978,24900,1828,3131,4959,93391,63443,156834,23142,19682,42824,215443,266716,587,1.021578321,250169.3297,426.1828444,0.3426,33.8411
Bugisu,Namisindwa District,4,1,5,5524,3311,8835,10890,5971,16861,2710,2241,4951,5389,4578,9967,3,0,3,0,3211,3211,10251,5775,16026,5252,4485,9737,2662,2187,4849,3,0,3,5250,3153,8403,45984,116514,162498,5150,4424,9574,2568,2128,4696,449,1032,1481,24517,16102,40619,3774,4579,8353,204281,257346,298,1.023361195,240121.2459,805.7759931,0.9054,34.3754
Busoga,Namutumba District,29,27,56,12745,7807,20552,23525,10523,34048,13122,10517,23639,18841,16925,35766,29,27,56,27,7735,7762,23282,10345,33627,18600,16712,35312,13029,10337,23366,25,27,52,12534,7611,20145,157750,360145,517895,18462,16566,35028,12832,10210,23042,893,2115,3008,68262,45799,114061,9867,16952,26819,252557,311339,812,1.021144992,292395.9086,360.0934835,0.8493,33.6623
Karamoja,Napak District,35,37,72,7550,3603,11153,13581,3849,17430,6745,4752,11497,23125,19060,42185,30,32,62,32,3407,3439,12132,3413,15545,21747,18218,39965,6490,4505,10995,35,35,70,7199,3449,10648,123356,291844,415200,21730,18234,39964,6477,4567,11044,646,994,1640,51036,31301,82337,21874,19097,40971,142224,211830,4822,1.040642258,187967.6418,38.98126127,2.4265,34.331
West Nile,Nebbi District,20,8,28,22101,12127,34228,31467,11625,43092,11444,9108,20552,18628,18146,36774,20,8,28,8,12092,12100,31505,11587,43092,18546,18060,36606,11425,9070,20495,20,8,28,21751,12082,33833,181924,412694,594618,18441,17847,36288,11272,8977,20249,1608,2865,4473,83660,51014,134674,21326,18154,39480,238757,299398,987,1.022890813,279744.1803,283.4287541,2.4104,31.2168
Teso,Ngora District,63,47,110,15349,7800,23149,20640,8775,29415,6715,4819,11534,7319,6419,13738,63,47,110,47,7673,7720,20518,8643,29161,7308,6395,13703,6694,4802,11496,63,65,128,15291,7485,22776,96206,221368,317574,7122,6266,13388,6699,4672,11371,1278,2342,3620,50086,27860,77946,8718,6466,15184,141919,213777,640,1.041818448,189053.5546,295.3961791,1.4908,33.7518
North Central,North Central,419,306,725,151482,113190,264672,219727,139107,358834,80579,70076,150655,97201,93369,190570,267,244,511,244,99428,99672,202805,130581,333386,90043,85063,175106,76318,66511,142829,274,244,518,128675,96674,225349,1087604,2757849,3845453,89274,84656,173930,75786,66089,141875,7821,18263,26084,549408,416048,965456,143159,93675,236834,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
Tooro,Ntoroko District,0,1,1,1351,920,2271,1669,1122,2791,837,671,1508,923,875,1798,0,0,0,0,903,903,1670,1083,2753,920,860,1780,822,667,1489,0,0,0,1345,907,2252,11042,24170,35212,923,870,1793,828,668,1496,65,106,171,4780,3589,8369,512,876,1388,67005,114858,1236,1.055371602,97711.35554,79.05449478,1.0125,30.3897
Ankole,Ntungamo District,22,17,39,7628,6371,13999,13513,8239,21752,3056,2811,5867,2865,2566,5431,22,16,38,16,6116,6132,12445,7683,20128,2624,2386,5010,2943,2707,5650,22,16,38,7000,5924,12924,47244,118453,165697,2576,2345,4921,2849,2647,5496,121,458,579,27084,20004,47088,2285,2583,4868,483841,552786,1999,1.013410587,531129.8684,265.6977831,0.9807,30.2513
