Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),,,
Bukedi,Busia District,113,90,203,31902,20991,52893,49843,21126,70969,20491,16546,37037,31491,27893,59384,112,89,201,31028,20362,51390,296024,325864,621888,47811,20975,68786,30683,27129,57812,19962,16174,36136,109,89,198,30454,20165,50619,47136,20152,67288,30158,84401,114559,19714,15869,35583,1696,2913,4609,133840,86646,220486,31604,27983,59587,323662,412671,729,1.024592621,393098.6053,539.2299113,0.4045,34.0196
Busoga,Busoga,937,689,1626,269682,159217,428899,454551,200937,655488,190059,149224,339283,293163,257061,550224,852,635,1487,264580,155486,420066,2622120,3019352,5641472,441143,193242,634385,288289,252510,540799,186708,146314,333022,842,628,1470,266197,152305,418502,430634,188304,618938,283310,791380,1074690,182743,144722,327465,25040,50443,75483,1208392,767128,1975520,294100,257750,551850,3583196,4363295,9443,1.019892507,4194747.019,444.2176235,,
Bukedi,Butaleja District,315,258,573,31266,16576,47842,42053,13840,55893,24804,19747,44551,31893,28217,60110,309,252,561,29618,16202,45820,302084,314972,617056,40973,13531,54504,31129,27567,58696,24358,19367,43725,309,252,561,29030,15961,44991,42143,13413,55556,30598,77997,108595,23795,18897,42692,1289,2812,4101,130331,78638,208969,32208,28475,60683,244153,312771,655,1.025076887,297655.2835,454.4355474,,
South Central,Butambala District,4,3,7,10167,9838,20005,9346,5890,15236,5240,5399,10639,4087,5427,9514,4,3,7,9949,9656,19605,79530,65350,144880,8973,5705,14678,3879,3716,7595,5141,5254,10395,4,3,7,9511,9241,18752,9644,5505,15149,3724,13788,17512,4926,5044,9970,135,472,607,28844,26557,55401,4091,5430,9521,10084,146516,405,1.306848434,85789.59355,211.8261569,0.1742,32.1065
Bukedi,Butebo District,22,19,41,15890,8270,24160,18175,5782,23957,9867,7394,17261,11639,10355,21994,21,19,40,15829,8227,24056,126702,125548,252250,18062,5723,23785,11567,10259,21826,9804,7330,17134,12,17,29,15385,8046,23431,17067,5505,22572,10998,28576,39574,9408,6952,16360,381,713,1094,55593,31820,87413,11661,10374,22035,111762,171433,236,1.043710436,157374.5036,666.8411168,1.2393,33.83
North Central,Buvuma District,11,4,15,3785,2485,6270,7435,3957,11392,2545,2175,4720,4273,3994,8267,11,4,15,3776,2484,6260,38524,48506,87030,7385,3941,11326,4243,3967,8210,2536,2166,4702,11,4,15,3736,2440,6176,7281,3820,11101,4200,12730,16930,2504,2135,4639,272,570,842,18049,12615,30664,4284,3998,8282,8989,110832,296,1.285568963,67061.67743,226.559721,0.3765,33.2588
Busoga,Buyende District,80,67,147,12886,7404,20290,22487,9482,31969,9774,7711,17485,17030,15367,32397,80,67,147,12883,7401,20284,140626,161056,301682,21150,9480,30630,17013,15262,32275,9767,7709,17476,80,67,147,12853,7475,20328,21089,9425,30514,16996,45182,62178,9747,7692,17439,3746,6747,10493,62257,40031,102288,17110,15434,32544,323067,403486,1379,1.022477093,385941.3361,279.8704395,1.2414,33.1239
Lango,Dokolo District,12,6,18,35841,18161,54002,37959,10652,48611,17756,13205,30961,22643,20106,42749,12,6,18,35247,17834,53081,253618,240620,494238,37226,10439,47665,22327,19819,42146,17492,12990,30482,11,6,17,35513,18061,53574,37620,10578,48198,22599,57497,80096,17711,13167,30878,1611,2927,4538,114211,62130,176341,22655,20112,42767,183093,215625,1004,1.016489126,208686.1554,207.8547364,1.9131,33.1717
Tooro,Fort Portal City,9,11,20,2428,2174,4602,4561,3594,8155,1431,1256,2687,1645,1428,3073,9,11,20,2315,2098,4413,20386,26426,46812,4362,3451,7813,1546,1348,2894,1331,1155,2486,9,11,20,2192,2092,4284,4186,3335,7521,1494,6743,8237,1271,1157,2428,34,222,256,10074,8463,18537,1654,1439,3093,10224,137549,127,1.296831825,81788.09976,644.0007855,0.6546,30.2801
South Central,Gomba District,1,2,3,7088,5965,13053,8773,6346,15119,4161,3630,7791,3398,3060,6458,1,2,3,6500,5522,12022,52548,53246,105794,7889,5589,13478,3115,2838,5953,3824,3365,7189,1,2,3,6835,5771,12606,8519,6037,14556,3281,13524,16805,3991,3493,7484,156,686,842,23421,19003,42424,3399,3062,6461,159922,19912,1670,0.811933886,30204.63204,18.08660601,0.223,31.6739
