Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Teso,Soroti District,37,31,68,18872,8274,27146,22764,7357,30121,9626,7046,16672,10124,9320,19444,31,28,59,18489,7997,26486,21831,7011,28842,9942,9182,19124,9345,6828,16173,31,28,59,18309,7800,26109,21560,6912,28472,9767,8941,18708,9189,6790,15979,1316,2519,3835,51299,32028,83327,10161,9351,19512,198332,266189,1034,1.029863654,236630.7495,228.8498545,1.7229,33.528
South Central,South Central,495,434,929,138263,117522,255785,211490,149101,360591,83222,75833,159055,80947,77642,158589,322,286,608,126121,107816,233937,184264,127859,312123,70252,66132,136384,75081,68606,143687,328,290,618,124285,106149,230434,179438,126240,305678,69302,65626,134928,74092,67450,141542,3622,14205,17827,433470,420532,854002,81442,78076,159518,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
West Nile,Terego District,19,16,35,51247,31804,83051,56925,18635,75560,31344,24376,55720,36190,34894,71084,18,13,31,42149,26099,68248,45395,15017,60412,29788,28387,58175,25877,19063,44940,17,15,32,46589,28860,75449,49620,16243,65863,40008,31893,71901,28828,21631,50459,1567,4516,6083,139535,109725,249260,36209,34910,71119,199303,323253,1200,1.049549371,266398.0692,221.998391,3.171,31.1252
Teso,Teso,215,190,405,190836,98053,288889,235009,91547,326556,96129,71847,167976,102409,93878,196287,169,157,326,195000,92809,287809,227771,88821,316592,99847,91759,191606,94942,71083,166025,168,155,323,185948,89686,275634,220700,86053,306753,97100,89258,186358,92229,68748,160977,10325,21674,31999,522189,355515,877704,102624,94068,196692,1819708,2462387,11650,1.030707558,2181797.639,187.2787673,1.7159,33.6111
Tooro,Tooro,299,252,551,141688,98972,240660,213366,122470,335836,73619,60715,134334,81921,81978,163899,237,196,433,122426,92336,214762,183766,112322,296088,75343,68645,143988,68955,56984,125939,223,240,463,123548,92411,215959,183074,111598,294672,73465,105061,178526,68346,56204,124550,4086,12468,16554,428972,364387,793359,82220,82230,164450,1587531,2154161,8383,1.03099271,1906583.285,227.4344846,0.3886,30.3436
Bukedi,Tororo District,18,11,29,11929,7362,19291,19497,9473,28970,6395,4998,11393,8814,7682,16496,18,10,28,11354,6975,18329,18078,8802,26880,8294,7241,15535,6027,4745,10772,16,23,39,11119,6761,17880,17696,8479,26175,8165,7095,15260,5940,4688,10628,452,851,1303,37839,29526,67365,8832,7693,16525,1881415,2372489,4504,1.023462561,2162302.077,480.0848305,0.3886,30.3436
South Central,Wakiso District,331,308,639,37127,31791,68918,78427,60878,139305,25218,23359,48577,29497,28045,57542,180,172,352,27802,24049,51851,59129,40753,99882,21357,18955,40312,18385,17245,35630,193,188,381,27808,23854,51662,56741,43767,100508,21132,19230,40362,18394,16974,35368,1091,6914,8005,141103,144381,285484,29828,28353,58181,1997418,3411177,1884,1.054978307,2753785.676,1461.669679,0.063,32.4467
West Nile,West Nile,350,291,641,428298,269007,697305,440819,174398,615217,254706,205959,460665,310779,298947,609726,303,242,545,401725,252654,654379,399665,158838,558503,297284,282397,579681,240980,193504,434484,287,235,522,398284,250939,649223,396757,157702,554459,296921,2122201,2419122,239877,284072,523949,14345,31525,45870,1124173,948602,2072775,311129,299238,610367,2296403,3316255,10757,1.037432815,2862911.96,266.1440885,,
West Nile,Yumbe District,80,61,141,81956,51421,133377,78387,30203,108590,54359,45153,99512,74772,70076,144848,61,51,112,77993,49069,127062,73821,28523,102344,68979,68707,137686,51924,42768,94692,57,38,95,77450,49220,126670,73503,28272,101775,68043,66283,134326,51584,43861,95445,2520,4706,7226,214782,196914,411696,74852,70137,144989,484822,945100,2323,1.069029142,723635.0354,311.50884,3.4698,31.2483
West Nile,Zombo District,13,12,25,15694,10009,25703,17793,8929,26722,7823,6483,14306,11862,11658,23520,11,10,21,15361,9862,25223,17279,8666,25945,11876,11413,23289,7725,6488,14213,11,10,21,14530,9424,23954,16571,8392,24963,10919,10805,21724,7305,6164,13469,492,905,,41323,37091,78414,11875,11670,23545,240081,312621,939,1.02675313,281289.8136,299.5631668,2.4882,30.8499
